SOLD DATE,ADDRESS,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
May-6-2020,8415 SE Schwind Cir,98664,699999,1,1,VANCOUVER: THE HEIGHTS (SW),100,15245,1960,106,7000,0,45.60192414,-122.5909825
April-15-2020,7607 SE Harney St,97206,229500,1,1,BRENTWOOD,504,5662,1949,127,455,0,45.463471,-122.585376
June-12-2020,7220 NE 33rd Dr,97211,265000,2,1,PORTLAND NORTHEAST,572,11761,1944,69,463,0,45.5754599,-122.6329566
May-27-2020,6804 SE 77th Ave,97206,250000,1,1,BRENTWOOD,577,5662,1927,85,433,0,45.4733822,-122.5837302
February-28-2020,3134 NE 76th Ave,97213,234600,1,1,ROSEWAY,600,4791,1914,174,391,0,45.5451345,-122.5846647
July-15-2020,6827 N Hudson St,97203,350000,2,1,ST JOHNS,603,4791,1927,36,580,0,45.589185,-122.7353869
July-30-2020,5036 SE Bybee Blvd,97206,235000,2,1,BRENTWOOD,604,4791,1924,21,389,0,45.4724245,-122.6112084
June-11-2020,6012 SE Bush St,97206,324900,2,1,FOSTER,624,4791,1949,70,521,0,45.4950056,-122.6013366
August-14-2020,10153 N Barr Ave,97203,325000,1,1,PORTLAND NORTH,640,4791,1907,6,508,0,45.599792,-122.749065
June-30-2020,7714 SE 65th Ave,97206,305000,2,1,PORTLAND SOUTHEAST,650,4791,1946,51,469,0,45.4678217,-122.5966355
July-24-2020,3807 SE 56th Ave,97206,325000,2,1,FOSTER,660,3920,1947,27,492,0,45.4953036,-122.6055404
August-5-2020,8817 N Dwight Ave,97203,375000,2,1,PORTSMOUTH,681,3484,1951,15,551,0,45.5862759,-122.7147397
June-22-2020,2726 SE 60th Ave,97206,425000,2,1,SOUTH TABOR,698,4356,1954,59,609,0,45.5029611,-122.6009487
May-27-2020,9234 N Allegheny Ave,97203,345000,2,1,ST JOHNS,704,4791,1954,85,490,0,45.5933162,-122.7449869
March-11-2020,7505 SE Carlton St,97206,315000,2,1,PORTLAND SOUTHEAST,704,4791,1951,162,447,0,45.4784091,-122.5857808
February-27-2020,9525 N Hodge Ave,97203,340000,2,1,PORTSMOUTH,720,4791,1953,175,472,0,45.5916135,-122.720266
March-10-2020,7734 N Bank St,97203,320000,2,1,PORTLAND NORTH,720,5227,1954,163,444,0,45.5978689,-122.7416824
July-31-2020,5729 SE 41st Ave,97202,415000,2,1,PORTLAND SOUTHEAST,720,3920,1916,20,576,0,45.4807924,-122.6208756
March-26-2020,6619 SE Woodstock Blvd,97206,290000,2,1,MT SCOTT,720,4791,1953,147,403,0,45.4793258,-122.595433
July-24-2020,9124 SE Alder St,97216,372000,2,1,MONTAVILLA,724,4791,1947,27,514,0,45.5173991,-122.5698033
April-6-2020,7866 SE 65th Ave,97206,250000,2,1,BRENTWOOD,725,4791,1953,136,345,0,45.4663965,-122.5966339
July-22-2020,6232 SE Ramona St,97206,375000,2,1,WOODSTOCK,726,4791,1951,29,517,0,45.4807654,-122.5987602
April-3-2020,9516 NE Gertz Cir,97211,245000,2,1,PORTLAND NORTHEAST,726,3049,1944,139,337,80,45.592386,-122.6664387
June-18-2020,5004 SE Tenino Dr,97206,270000,3,1,PORTLAND SOUTHEAST,728,4356,1942,63,371,0,45.465779,-122.6117308
May-21-2020,7317 SE Umatilla St,97206,300000,2,1,BRENTWOOD,738,5662,1965,91,407,0,45.4638419,-122.5881336
July-21-2020,4546 NE 77th Ave,97218,371000,2,1,BEDFORD PARK,750,4791,1951,30,495,0,45.5561558,-122.5836455
June-1-2020,8234 N Willamette Blvd,97203,347500,2,1,ST JOHNS,752,2613,1950,80,462,0,45.5865015,-122.7535974
July-13-2020,4834 NE Prescott St,97218,385000,2,1,PORTLAND NORTHEAST,752,8712,1943,38,512,0,45.5553276,-122.6128535
April-24-2020,6816 N New York Ave,97203,250000,2,1,PORTLAND NORTH,756,4791,1919,118,331,0,45.5903217,-122.7607025
July-13-2020,7350 SE 68th Ave,97206,349000,2,1,PORTLAND SOUTHEAST,760,4791,1942,38,459,0,45.4697293,-122.59301
July-24-2020,9406 NE Gertz Ct,97211,250500,3,1,PORTLAND NORTHEAST,760,3484,1944,27,330,80,45.5915338,-122.6654699
June-30-2020,9216 SE Yamhill St,97216,310000,2,1,MONTAVILLA,764,6098,1948,51,406,0,45.5159393,-122.5687167
August-6-2020,6317 N Wilbur Ave,97217,405000,2,1,PORTLAND NORTH,768,4791,1951,14,527,0,45.5684743,-122.693811
April-6-2020,4806 SE 45th Ave,97206,382000,2,1,PORTLAND SOUTHEAST,768,4791,1948,136,497,0,45.4877819,-122.6156121
April-8-2020,4806 SE Glenwood St,97206,320500,2,1,WOODSTOCK,768,4356,1933,134,417,0,45.4742551,-122.6132152
May-26-2020,5232 NE 31st Ave,97211,404000,2,1,ALBERTA,768,4791,1952,86,526,0,45.5608439,-122.6335516
June-24-2020,4706 NE 78th Pl,97218,360000,2,1,PORTLAND NORTHEAST,774,5227,1951,57,465,0,45.5574265,-122.5817267
March-31-2020,804 SE 117th Ave,97216,293900,2,1,MILL PARK,777,2613,1945,142,378,0,45.516701,-122.54266
April-10-2020,6911 N Mears St,97203,306000,2,1,ST JOHNS,780,4791,1951,132,392,0,45.5947618,-122.7338264
June-5-2020,6114 SE Henderson St,97206,340000,2,1,BRENTWOOD,780,4791,1956,76,436,0,45.4691685,-122.600604
July-21-2020,5135 SE 63rd Ave,97206,371000,2,1,MT SCOTT,780,3920,1950,30,476,0,45.4856578,-122.5988623
August-14-2020,8923 SE Yamhill St,97216,341000,2,1,MONTAVILLA,784,3049,1944,6,435,0,45.5162815,-122.5716312
July-31-2020,8904 SE Yamhill St,97216,372000,2,1,PORTLAND SOUTHEAST,784,4356,1944,20,474,0,45.5159591,-122.5719978
July-7-2020,6025 N Burrage Ave,97217,385000,2,1,PORTLAND NORTH,784,4791,1949,44,491,0,45.5668088,-122.6948339
August-10-2020,624 SE 26th Ave,97214,418000,2,1,PORTLAND SOUTHEAST,784,4791,1950,10,533,0,45.5181503,-122.6387765
August-12-2020,9341 SE Salmon St,97216,308000,2,1,MONTAVILLA,786,6098,1949,8,392,0,45.5147102,-122.5666508
March-5-2020,2347 N Terry St,97217,295000,2,1,KENTON,790,1742,1910,168,373,0,45.5799799,-122.6911052
March-24-2020,4725 SE 49th Ave,97206,402500,2,1,WOODSTOCK,790,7405,1949,149,509,0,45.4880795,-122.6119227
