PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
Single Family Residential,Oregon City,97045,595000,4,3,2621,10454,1999,1,227,,45.3288521,-122.6315998
Townhouse,Portland,97225,475000,2,2.5,1714,2613,2000,1,277,,45.504376,-122.746032
Single Family Residential,Oregon City,97045,450000,3,2,2842,43995,1946,1,158,,45.3112655,-122.5697029
Townhouse,Tigard,97224,419900,3,2.5,2021,3049,2005,1,208,259,45.404892,-122.7575692
Single Family Residential,Portland,97215,1295000,4,3,4426,14810,1971,3,293,,45.5165624,-122.5982564
Single Family Residential,Portland,97225,450000,3,2,2179,10018,1948,4,207,,45.5045597,-122.8024977
Single Family Residential,Hillsboro,97124,405000,3,2.5,1678,3049,2000,5,241,81,45.5459938,-122.9691314
Multi-Family (2-4 Unit),Portland,97214,1025000,4,5,3148,,2016,6,326,,45.520985,-122.634125
Single Family Residential,Portland,97218,470000,3,2,1730,4791,1944,6,272,,45.553705,-122.5909292
Single Family Residential,Milwaukie,97222,349900,3,1,956,9147,1972,6,366,,45.4329824,-122.5899028
Condo/Co-op,Hillsboro,97006,199900,1,1,789,,2007,6,253,325,45.5201551,-122.8686842
Single Family Residential,Portland,97218,315000,2,1,966,2178,2009,6,326,45,45.5622945,-122.597237
Single Family Residential,Portland,97229,399900,3,2.5,1480,2613,1998,9,270,8,45.5664885,-122.8349111
Single Family Residential,Portland,97206,595000,3,2.5,1868,2613,2015,12,319,,45.4814595,-122.60996
Townhouse,Hillsboro,97124,499900,2,3.5,2041,1306,2003,13,245,260,45.536969,-122.912324
Single Family Residential,Portland,97214,1025000,4,4.5,3148,2613,2016,13,326,,45.5209611,-122.6341929
Condo/Co-op,Portland,97209,364990,1,1,831,,1910,14,439,441,45.5299022,-122.6862342
Single Family Residential,Portland,97229,500000,4,2.5,1764,3049,2016,14,283,,45.570628,-122.830794
Single Family Residential,Beaverton,97005,415000,3,2,1152,7840,1960,19,360,,45.5082004,-122.8216967
Single Family Residential,Portland,97206,549000,4,2.5,2448,4791,2017,19,224,,45.4701777,-122.595458
Single Family Residential,Portland,97213,675000,3,2,2769,4791,1930,19,244,,45.5358064,-122.6070977
Single Family Residential,Troutdale,97060,430000,5,3,1916,7405,1995,19,224,15,45.5326246,-122.406703
Condo/Co-op,Portland,97203,269900,3,1.5,1017,,1999,20,265,300,45.5935755,-122.7309442
Townhouse,Portland,97217,549000,3,2.5,2304,2613,2010,20,238,,45.5727953,-122.6901664
Condo/Co-op,Portland,97209,315000,1,1,718,,2006,26,439,306,45.5228316,-122.6908851
Condo/Co-op,Beaverton,97006,250000,2,2,992,,2007,26,252,225,45.5250112,-122.8670868
Single Family Residential,Portland,97229,664900,3,2.5,2803,4356,2014,27,237,30,45.5367253,-122.7936916
Condo/Co-op,Portland,97221,249900,2,2,1152,,1966,27,217,474,45.5120681,-122.7315935
Single Family Residential,Beaverton,97008,360000,3,2,1527,7405,1986,27,236,,45.4545456,-122.8121761
Townhouse,Milwaukie,97267,392000,4,2.5,1628,3484,2012,27,241,,45.4154849,-122.6409212
Single Family Residential,Lake Oswego,97035,499999,2,2,1585,4791,1981,33,315,88,45.4324396,-122.7293081
