SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-5-2020,Single Family Residential,3529 N Missouri Ave,Portland,OR,97227,414000,2,1.0,Portland North,1694,2178,1886,168,244,,Sold,,,http://www.redfin.com/OR/Portland/3529-N-Missouri-Ave-97227/home/25778599,RMLS,19296623,N,Y,45.5483051,-122.6779182
PAST SALE,June-17-2020,Single Family Residential,4037 N Longview Ave,Portland,OR,97227,640000,3,1.5,OVERLOOK,2364,4791,1910,64,271,,Sold,,,http://www.redfin.com/OR/Portland/4037-N-Longview-Ave-97227/home/26543162,RMLS,20314399,N,Y,45.5527351,-122.6833723
PAST SALE,June-8-2020,Single Family Residential,3140 SW Fairview Blvd,Portland,OR,97205,438700,2,1.0,ARLINGTON HEIGHTS,1419,4356,1968,73,309,,Sold,,,http://www.redfin.com/OR/Portland/3140-SW-Fairview-Blvd-97205/home/26518639,RMLS,20421573,N,Y,45.5194412,-122.7141811
PAST SALE,April-24-2020,Single Family Residential,3616 N Borthwick Ave,Portland,OR,97227,737000,5,3.0,Mississippi/Williams,3076,4791,1906,118,240,,Sold,,,http://www.redfin.com/OR/Portland/3616-N-Borthwick-Ave-97227/home/26551268,RMLS,20548131,N,Y,45.549132,-122.6731586
PAST SALE,,Single Family Residential,4040 N Overlook Ter,Portland,OR,97227,520000,4,1.0,,1629,5200,1922,,319,,,,,http://www.redfin.com/OR/Portland/4040-N-Overlook-Ter-97227/home/26321905,,,N,Y,45.5524977,-122.6880553
PAST SALE,April-29-2020,Single Family Residential,3513 N Commercial Ave,Portland,OR,97227,589019,4,1.5,Mississippi/Williams,3112,4791,1914,113,189,,Sold,,,http://www.redfin.com/OR/Portland/3513-N-Commercial-Ave-97227/home/26604541,RMLS,20598355,N,Y,45.5485549,-122.6714957
PAST SALE,March-24-2020,Single Family Residential,4037 N Borthwick Ave,Portland,OR,97227,600000,2,2.0,BOISE ELIOT,1710,4791,1894,149,351,,Sold,,,http://www.redfin.com/OR/Portland/4037-N-Borthwick-Ave-97227/home/25855705,RMLS,20279198,N,Y,45.5526284,-122.6736693
PAST SALE,July-8-2020,Single Family Residential,3974 N Montana Ave,Portland,OR,97227,440000,3,1.0,OVERLOOK,2136,3049,1926,43,206,,Sold,,,http://www.redfin.com/OR/Portland/3974-N-Montana-Ave-97227/home/26532996,RMLS,20163094,N,Y,45.5519705,-122.6795689
PAST SALE,May-22-2020,Single Family Residential,4050 N Michigan Ave,Portland,OR,97227,485000,3,2.0,Portland North,2169,3920,1908,90,224,,Sold,,,http://www.redfin.com/OR/Portland/4050-N-Michigan-Ave-97227/home/26498069,RMLS,20453530,N,Y,45.5528377,-122.6763513
PAST SALE,July-14-2020,Single Family Residential,2770 SW Fairview Blvd,Portland,OR,97205,780000,3,2.5,ARLINGTON HEIGHTS,2218,4791,1924,37,352,,Sold,,,http://www.redfin.com/OR/Portland/2770-SW-Fairview-Blvd-97205/home/26502206,RMLS,20546045,N,Y,45.5197817,-122.709792
PAST SALE,July-10-2020,Single Family Residential,2850 SW Fairview Blvd,Portland,OR,97205,1450000,4,2.5,"Portland West, Raleigh Hills",3506,17424,1974,41,414,,Sold,,,http://www.redfin.com/OR/Portland/2850-SW-Fairview-Blvd-97205/home/25785118,RMLS,20361303,N,Y,45.519831,-122.711781
PAST SALE,April-9-2020,Single Family Residential,3043 SW Bennington Dr,Portland,OR,97205,900000,2,2.0,ARLINGTON HEIGHTS,2311,9147,1973,133,389,,Sold,,,http://www.redfin.com/OR/Portland/3043-SW-Bennington-Dr-97205/home/26437397,RMLS,20666889,N,Y,45.519416,-122.713229
PAST SALE,May-13-2020,Single Family Residential,2805 SW Rutland Ter,Portland,OR,97205,755000,4,2.5,ARLINGTON HEIGHTS,2878,4791,1929,99,262,,Sold,,,http://www.redfin.com/OR/Portland/2805-SW-Rutland-Ter-97205/home/26615655,RMLS,20454340,N,Y,45.5224564,-122.7074789
PAST SALE,April-13-2020,Single Family Residential,1625 NW Johnson St,Portland,OR,97209,879900,3,4.0,ALPHABET DISTRICT/PEARL,2996,1742,1906,129,294,,Sold,,,http://www.redfin.com/OR/Portland/1625-NW-Johnson-St-97209/home/25753365,RMLS,18035167,N,Y,45.5287144,-122.6879781
PAST SALE,July-10-2020,Single Family Residential,1129 SW 20th Ave,Portland,OR,97205,949000,6,4.0,Goose Hollow,3571,5662,1890,41,266,,Sold,,,http://www.redfin.com/OR/Portland/1129-SW-20th-Ave-97205/home/26462854,RMLS,20131015,N,Y,45.519568,-122.694492
PAST SALE,July-2-2020,Single Family Residential,2995 SW Champlain Dr,Portland,OR,97205,401000,2,1.0,"Portland West, Raleigh Hills",1115,10018,1954,49,360,,Sold,,,http://www.redfin.com/OR/Portland/2995-SW-Champlain-Dr-97205/home/25773207,RMLS,20317388,N,Y,45.5219869,-122.7122702
PAST SALE,July-15-2020,Single Family Residential,3138 SW Cascade Dr,Portland,OR,97205,838000,3,3.5,ARLINGTON HEIGHTS,2909,6098,1979,36,288,,Sold,,,http://www.redfin.com/OR/Portland/3138-SW-Cascade-Dr-97205/home/26535527,RMLS,20447129,N,Y,45.5172019,-122.7110733
