SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-29-2020,Single Family Residential,3020 SE 51st Ave,Portland,OR,97206,540000,3,2.0,Portland Southeast,1904,4356,1908,52,284,,Sold,,,http://www.redfin.com/OR/Portland/3020-SE-51st-Ave-97206/home/26477336,RMLS,20250456,N,Y,45.5005696,-122.6098717
PAST SALE,June-11-2020,Single Family Residential,6012 SE Bush St,Portland,OR,97206,324900,2,1.0,FOSTER - POWELL,624,4791,1949,70,521,,Sold,,,http://www.redfin.com/OR/Portland/6012-SE-Bush-St-97206/home/26577388,RMLS,20374840,N,Y,45.4950056,-122.6013366
PAST SALE,July-31-2020,Single Family Residential,2446 SE 77th Ave,Portland,OR,97206,517700,3,2.0,Portland Southeast,2444,5662,1955,20,212,,Sold,,,http://www.redfin.com/OR/Portland/2446-SE-77th-Ave-97206/home/26496407,RMLS,20272560,N,Y,45.5046603,-122.5834607
PAST SALE,March-16-2020,Single Family Residential,7475 SE Rhone St,Portland,OR,97206,595000,4,2.5,Portland Southeast,2493,4356,2019,157,239,,Sold,,,http://www.redfin.com/OR/Portland/7475-SE-Rhone-St-97206/home/144738816,RMLS,20320696,N,Y,45.4956866,-122.5862356
PAST SALE,June-16-2020,Single Family Residential,8009 SE Gladstone St,Portland,OR,97206,350000,3,2.0,Portland Southeast,1868,3920,1910,65,187,,Sold,,,http://www.redfin.com/OR/Portland/8009-SE-Gladstone-St-97206/home/26570308,RMLS,20324044,N,Y,45.4929223,-122.5806266
PAST SALE,July-9-2020,Single Family Residential,5960 SE Tibbetts St,Portland,OR,97206,428000,2,1.0,SOUTH TABOR,1804,7405,1952,42,237,,Sold,,,http://www.redfin.com/OR/Portland/5960-SE-Tibbetts-St-97206/home/26335034,RMLS,20585246,N,Y,45.5001946,-122.600259
PAST SALE,March-31-2020,Single Family Residential,2318 SE 72nd Ave,Portland,OR,97215,456000,3,1.0,MT. TABOR,1640,8712,1925,142,278,,Sold,,,http://www.redfin.com/OR/Portland/2318-SE-72nd-Ave-97215/home/25779065,RMLS,20078787,N,Y,45.5059431,-122.5885692
PAST SALE,March-19-2020,Single Family Residential,3346 SE 61st Ave,Portland,OR,97206,729900,4,3.0,SOUTH TABOR,2464,,2020,154,296,,Sold,,,http://www.redfin.com/OR/Portland/3346-SE-61st-Ave-97206/home/170025492,RMLS,19467367,N,Y,45.4986203,-122.6006969
PAST SALE,April-10-2020,Single Family Residential,4116 SE 65th Ave,Portland,OR,97206,420000,2,1.0,FOSTER-POWELL NEIGHBORHOOD,1337,3920,1906,132,314,,Sold,,,http://www.redfin.com/OR/Portland/4116-SE-65th-Ave-97206/home/26610910,RMLS,20496247,N,Y,45.4927385,-122.596101
PAST SALE,June-3-2020,Single Family Residential,2806 SE 47th Ave,Portland,OR,97206,935000,4,2.5,RICHMOND,2722,10018,1911,78,343,,Sold,,,http://www.redfin.com/OR/Portland/2806-SE-47th-Ave-97206/home/26542917,RMLS,20617643,N,Y,45.5025207,-122.6137851
