SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-20-2020,Single Family Residential,7219 SE Insley St,Portland,OR,97206,375000,2,1.0,Portland Southeast,1356,4791,1907,31,277,,Sold,,,http://www.redfin.com/OR/Portland/7219-SE-Insley-St-97206/home/26468341,RMLS,20298399,N,Y,45.4839145,-122.5886195
PAST SALE,April-10-2020,Single Family Residential,6125 SE Lambert St,Portland,OR,97206,367000,3,1.0,Portland Southeast,1032,4791,1967,132,356,,Sold,,,http://www.redfin.com/OR/Portland/6125-SE-Lambert-St-97206/home/26544649,RMLS,20660653,N,Y,45.4674411,-122.6003926
PAST SALE,March-3-2020,Single Family Residential,5810 SE Henderson St,Portland,OR,97206,326000,2,1.0,Portland Southeast,1120,7840,1944,170,291,,Sold,,,http://www.redfin.com/OR/Portland/5810-SE-Henderson-St-97206/home/26471755,RMLS,19633474,N,Y,45.4690519,-122.6040805
PAST SALE,June-30-2020,Single Family Residential,6303 SE 61st Ave,Portland,OR,97206,330000,2,1.0,Portland Southeast,980,4791,1924,51,337,,Sold,,,http://www.redfin.com/OR/Portland/6303-SE-61st-Ave-97206/home/26519760,RMLS,20614830,N,Y,45.4772245,-122.6012354
PAST SALE,May-15-2020,Single Family Residential,6225 SE 51st Ave,Portland,OR,97206,392000,2,1.0,WOODSTOCK,1100,4791,1958,97,356,,Sold,,,http://www.redfin.com/OR/Portland/6225-SE-51st-Ave-97206/home/26411728,RMLS,20646143,N,Y,45.4772787,-122.6102734
PAST SALE,July-2-2020,Single Family Residential,5021 SE Henry St,Portland,OR,97206,452397,3,2.0,Portland Southeast,1407,4791,1961,49,322,,Sold,,,http://www.redfin.com/OR/Portland/5021-SE-Henry-St-97206/home/26571193,RMLS,20431206,N,Y,45.476521,-122.6108783
PAST SALE,March-19-2020,Single Family Residential,5830 SE 80th Ave,Portland,OR,97206,345000,2,1.0,WOODSTOCK,1200,6534,1928,154,288,,Sold,,,http://www.redfin.com/OR/Portland/5830-SE-80th-Ave-97206/home/26540596,RMLS,20169456,N,Y,45.4803774,-122.5813562
PAST SALE,July-24-2020,Single Family Residential,6845 SE Knight St,Portland,OR,97206,405000,3,2.5,MT SCOTT/ARLETA/WOODSTOCK,1546,4791,1997,27,262,,Sold,,,http://www.redfin.com/OR/Portland/6845-SE-Knight-St-97206/home/26506653,RMLS,20139259,N,Y,45.480307,-122.592219
PAST SALE,July-15-2020,Single Family Residential,8046 SE 57th Ave,Portland,OR,97206,464900,4,2.5,Brentwood Darlington,1735,4356,2008,36,268,,Sold,,,http://www.redfin.com/OR/Portland/8046-SE-57th-Ave-97206/home/25779051,RMLS,20408219,N,Y,45.4650919,-122.6045316
PAST SALE,July-30-2020,Single Family Residential,5036 SE Bybee Blvd,Portland,OR,97206,235000,2,1.0,Brentwood Darlington,604,4791,1924,21,389,,Sold,,,http://www.redfin.com/OR/Portland/5036-SE-Bybee-Blvd-97206/home/26343729,RMLS,20406057,N,Y,45.4724245,-122.6112084
PAST SALE,,Single Family Residential,6310 SE Steele St Unit A,Portland,OR,97206,400000,3,1.0,,888,4960,1964,,450,,,,,http://www.redfin.com/OR/Portland/6310-SE-Steele-St-97206/unit-A/home/26603367,,,N,Y,45.4840974,-122.5985115
PAST SALE,April-1-2020,Single Family Residential,6247 SE Ogden St,Portland,OR,97206,274900,3,2.0,Portland Southeast,1284,3920,1945,141,214,,Sold,,,http://www.redfin.com/OR/Portland/6247-SE-Ogden-St-97206/home/26635796,RMLS,19099862,N,Y,45.4712504,-122.5986161
PAST SALE,March-6-2020,Single Family Residential,6617 SE 65th Ave,Portland,OR,97206,313000,2,1.0,Portland Southeast,884,6098,1961,167,354,,Sold,,,http://www.redfin.com/OR/Portland/6617-SE-65th-Ave-97206/home/26534873,RMLS,19358770,N,Y,45.4746361,-122.5963679
PAST SALE,March-13-2020,Single Family Residential,5708 SE Raymond St,Portland,OR,97206,347500,3,2.0,WOODSTOCK,1140,6098,1989,160,305,,Sold,,,http://www.redfin.com/OR/Portland/5708-SE-Raymond-St-97206/home/26470458,RMLS,19452292,N,Y,45.486172,-122.6048278
