SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-15-2020,Single Family Residential,6228 SE Lincoln St,Portland,OR,97215,471937,3,2.0,Portland Southeast,1222,4791,1988,97,386,,Sold,,,http://www.redfin.com/OR/Portland/6228-SE-Lincoln-St-97215/home/26519948,RMLS,20383511,N,Y,45.5078558,-122.5991568
PAST SALE,April-15-2020,Single Family Residential,7778 SE Main St,Portland,OR,97215,750000,4,2.5,Portland Southeast,2658,5227,2018,127,282,,Sold,,,http://www.redfin.com/OR/Portland/7778-SE-Main-St-97215/home/26521837,RMLS,20622010,N,Y,45.5134541,-122.5834832
PAST SALE,July-24-2020,Single Family Residential,8115 SE Yamhill St,Portland,OR,97215,430000,5,1.5,Portland Southeast,2386,7840,1917,27,180,,Sold,,,http://www.redfin.com/OR/Portland/8115-SE-Yamhill-St-97215/home/26366240,RMLS,20261503,N,Y,45.5163597,-122.5798714
PAST SALE,April-2-2020,Single Family Residential,1302 SE 49th Ave,Portland,OR,97215,561000,3,1.0,MT TABOR / HAWTHORNE,2528,3484,1911,140,222,,Sold,,,http://www.redfin.com/OR/Portland/1302-SE-49th-Ave-97215/home/26329631,RMLS,20491472,N,Y,45.5134742,-122.6121526
PAST SALE,April-8-2020,Single Family Residential,4825 SE Caruthers St,Portland,OR,97215,471250,3,1.0,Portland Southeast,1659,3920,1922,134,284,,Sold,,,http://www.redfin.com/OR/Portland/4825-SE-Caruthers-St-97215/home/26298502,RMLS,20480882,N,Y,45.5061728,-122.6126703
PAST SALE,July-21-2020,Single Family Residential,6926 SE Yamhill St,Portland,OR,97215,625000,3,2.0,Portland Southeast,2514,9147,1908,30,249,,Sold,,,http://www.redfin.com/OR/Portland/6926-SE-Yamhill-St-97215/home/26515658,RMLS,20680319,N,Y,45.5158976,-122.5915995
PAST SALE,April-14-2020,Single Family Residential,7814 SE Taylor St,Portland,OR,97215,480000,3,2.0,MONTAVILLA,1140,5227,1975,128,421,,Sold,,,http://www.redfin.com/OR/Portland/7814-SE-Taylor-St-97215/home/25842271,RMLS,20018148,N,Y,45.5150375,-122.5828534
PAST SALE,July-2-2020,Single Family Residential,1421 SE 50th Ave,Portland,OR,97215,499900,4,2.0,RICHMOND / HAWTHORNE,2458,3484,1911,49,203,,Sold,,,http://www.redfin.com/OR/Portland/1421-SE-50th-Ave-97215/home/25769606,RMLS,20577745,N,Y,45.5124201,-122.6117243
PAST SALE,July-13-2020,Single Family Residential,5581 SE Ash St,Portland,OR,97215,534000,2,1.0,MT. TABOR,2618,4791,1891,38,204,,Sold,,,http://www.redfin.com/OR/Portland/5581-SE-Ash-St-97215/home/26320016,RMLS,20163423,N,Y,45.5215363,-122.6058239
PAST SALE,July-27-2020,Single Family Residential,624 SE 72nd Ave,Portland,OR,97215,572000,2,1.5,MT. TABOR,2694,4791,1906,24,212,,Sold,,,http://www.redfin.com/OR/Portland/624-SE-72nd-Ave-97215/home/26594448,RMLS,20644559,N,Y,45.518212,-122.5884698
