SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-6-2020,Single Family Residential,8415 SE Schwind Cir,Vancouver,WA,98664,699999,1,1,Vancouver: The Heights (SW),100,15245,1960,106,7000,,Sold,,,http://www.redfin.com/WA/Vancouver/8415-SE-Schwind-Cir-98664/home/14671401,RMLS,19308645,N,Y,45.60192414,-122.5909825
PAST SALE,,Single Family Residential,5115 SE Henderson St,Portland,OR,97206,190000,1,1,,494,5000,1924,,385,,,,,http://www.redfin.com/OR/Portland/5115-SE-Henderson-St-97206/home/26361284,,,N,Y,45.4700023,-122.6106027
PAST SALE,April-15-2020,Single Family Residential,7607 SE Harney St,Portland,OR,97206,229500,1,1,BRENTWOOD - DARLINGTON,504,5662,1949,127,455,,Sold,,,http://www.redfin.com/OR/Portland/7607-SE-Harney-St-97206/home/25732970,RMLS,19005138,N,Y,45.463471,-122.585376
PAST SALE,,Single Family Residential,5404 NE Prescott St,Portland,OR,97218,185000,1,1,,512,5000,1944,,361,,,,,http://www.redfin.com/OR/Portland/5404-NE-Prescott-St-97218/home/26643350,,,N,Y,45.5553149,-122.6070767
PAST SALE,,Single Family Residential,2969 SW Upper Dr,Portland,OR,97201,265000,1,1,,542,5000,1961,,489,,,,,http://www.redfin.com/OR/Portland/2969-SW-Upper-Dr-97201/home/26479697,,,N,Y,45.5064541,-122.7085137
PAST SALE,,Single Family Residential,3529 SE 61st Ave,Portland,OR,97206,280000,1,1,,560,5000,1950,,500,,,,,http://www.redfin.com/OR/Portland/3529-SE-61st-Ave-97206/home/26606123,,,N,Y,45.4969408,-122.6006446
PAST SALE,,Single Family Residential,1414 NE Going St,Portland,OR,97211,345000,1,1,,560,3750,1922,,616,,,,,http://www.redfin.com/OR/Portland/1414-NE-Going-St-97211/home/26619959,,,N,Y,45.5561841,-122.6513135
PAST SALE,June-12-2020,Single Family Residential,7220 NE 33rd Dr,Portland,OR,97211,265000,2,1,Portland Northeast,572,11761,1944,69,463,,Sold,,,http://www.redfin.com/OR/Portland/7220-NE-33rd-Dr-97211/home/26468694,RMLS,20089019,N,Y,45.5754599,-122.6329566
PAST SALE,,Single Family Residential,4846 N Vanderbilt St,Portland,OR,97203,100000,,1,,576,3172,2017,,174,,,,,http://www.redfin.com/OR/Portland/4846-N-Vanderbilt-St-97203/home/26454787,,,N,Y,45.5813106,-122.7187313
PAST SALE,May-27-2020,Single Family Residential,6804 SE 77th Ave,Portland,OR,97206,250000,1,1,BRENTWOOD - DARLINGTON,577,5662,1927,85,433,,Sold,,,http://www.redfin.com/OR/Portland/6804-SE-77th-Ave-97206/home/26458243,RMLS,20587240,N,Y,45.4733822,-122.5837302
